Game	Time
1	39.2
1	2.7
1	9.2
1	14.6
1	1.9
1	17.8
1	15.5
1	53.8
1	17.5
1	27.5
1	4.8
1	8.6
1	22.1
1	29.8
1	10.4
1	9.8
1	27.7
1	32.7
1	32.0
1	34.3
1	29.1
1	6.5
1	2.8
1	10.8
1	9.2
1	12.9
1	7.1
1	23.8
1	7.6
1	36.4
1	35.6
1	28.4
1	37.2
1	16.8
1	21.2
1	14.7
1	44.5
1	24.7
1	36.2
1	20.9
1	19.9
1	24.4
1	7.9
1	2.8
1	2.7
1	3.9
1	14.1
1	28.4
1	45.5
1	38.0
1	18.5
1	8.3
1	56.2
1	10.2
1	5.5
1	2.5
1	46.8
1	23.1
1	9.2
1	10.3
1	10.2
1	22.0
1	28.5
1	24.0
1	17.3
1	12.7
1	15.5
1	4.0
1	5.6
1	3.8
1	21.6
1	49.3
1	52.4
1	50.1
1	30.5
1	37.2
1	15.0
1	38.7
1	3.1
1	11.0
1	10.0
1	5.0
1	48.8
1	3.6
1	12.6
1	9.9
1	58.6
1	37.9
1	19.4
1	29.2
1	12.3
1	39.2
1	22.2
1	39.7
1	6.4
1	2.5
1	34.0
2	7.4
2	4.6
2	75.1
2	8.3
2	7.2
2	5.9
2	3.1
2	2.9
2	20.7
2	13.9
2	6.1
2	18.6
2	33.1
2	15.0
2	26.7
2	4.3
2	53.9
2	22.9
2	4.9
2	11.2
2	18.9
2	2.8
2	7.0
2	29.2
2	19.2
2	17.1
2	29.5
2	7.5
2	18.8
2	49.5
2	27.5
2	16.3
2	5.1
2	2.7
2	56.9
2	4.7
2	13.4
2	9.8
2	12.4
2	14.6
2	51.5
2	9.2
2	57.1
2	13.7
2	11.8
2	26.0
2	34.6
2	5.1
2	18.1
2	6.2
2	32.5
2	23.6
2	33.6
2	4.0
2	43.9
2	9.7
2	9.1
2	16.8
2	39.4
2	20.2
2	29.9
2	10.3
2	33.8
2	16.8
2	21.8
2	28.2
2	6.5
2	3.2
2	7.2
2	2.1
2	18.8
2	5.4
2	24.9
2	8.3
2	27.3
2	11.9
2	8.8
2	51.4
2	27.6
2	67.1
2	18.1
2	20.5
2	16.8
2	17.3
2	42.4
2	29.9
2	12.5
2	3.0
2	10.9
2	11.8
2	41.7
2	27.9
2	33.7
2	18.0
2	23.2
2	17.3
2	1.4
2	17.4
2	8.3
2	10.6
2	2.3
2	58.8
2	20.1
2	7.0
2	28.1
2	30.8
2	16.9
3	7.0
3	13.5
3	2.7
3	3.6
3	27.5
3	1.9
3	6.9
3	2.2
3	5.2
3	5.6
3	2.9
3	18.0
3	12.6
3	9.0
3	34.3
3	10.4
3	22.4
3	3.3
3	10.4
3	43.2
3	34.5
3	1.5
3	27.0
3	7.9
3	8.3
3	16.7
3	1.3
3	26.9
3	28.0
3	7.9
3	36.0
3	15.3
3	4.8
3	21.6
3	15.4
3	18.0
3	15.9
3	16.5
3	15.1
3	45.7
3	3.3
3	9.6
3	24.5
3	3.2
3	9.6
3	5.3
3	4.1
3	10.6
3	19.2
3	17.8
3	15.5
3	3.4
3	2.7
3	15.3
3	3.2
3	27.0
3	11.7
3	11.2
3	14.5
3	28.8
3	24.2
3	9.5
3	21.7
3	16.9
3	13.5
3	2.5
3	19.8
3	45.9
3	8.6
3	66.1
3	16.8
3	6.3
3	13.1
3	8.9
3	15.3
3	29.4
3	2.9
3	16.7
3	2.4
3	31.1
3	15.7
3	21.5
3	3.5
3	23.5
3	21.0
3	35.9
3	22.6
3	13.6
3	4.8
3	8.1
3	12.9
3	12.4
3	6.5
4	5.3
4	25.5
4	2.6
4	13.9
4	28.7
4	29.1
4	83.6
4	10.2
4	14.6
4	40.1
4	11.2
4	33.8
4	43.6
4	15.4
4	20.8
4	6.9
4	21.4
4	10.1
4	38.6
4	8.9
4	21.9
4	21.2
4	14.3
4	20.9
4	8.7
4	6.2
4	8.1
4	4.6
4	22.6
4	27.0
4	10.7
4	40.1
4	44.2
4	7.1
4	28.2
4	24.6
4	23.8
4	3.6
4	33.4
4	24.0
4	27.6
4	13.4
4	14.2
4	42.0
4	39.8
4	21.8
4	8.7
4	41.7
4	8.3
4	49.3
4	11.3
4	19.5
4	12.6
4	12.2
4	36.3
4	8.8
4	5.9
4	9.0
4	9.2
4	10.9
4	41.4
4	34.9
4	10.6
4	37.0
4	66.4
4	7.7
4	26.4
4	17.2
4	16.1
4	75.5
4	5.3
4	6.3
4	21.4
4	27.6
4	18.2
4	33.2
4	31.5
4	39.2
4	20.8
4	7.3
4	4.9
4	10.6
4	11.5
4	17.0
4	3.0
4	28.5
4	3.9
4	14.9
4	8.9
5	3.6
5	29.2
5	7.9
5	37.3
5	34.2
5	37.8
5	34.7
5	7.0
5	14.5
5	46.9
5	62.7
5	18.9
5	19.1
5	33.1
5	37.2
5	28.2
5	18.5
5	6.3
5	14.4
5	2.5
5	24.0
5	4.3
5	3.2
5	13.2
5	37.6
5	6.1
5	51.3
5	27.4
5	17.9
5	25.8
5	4.3
5	10.6
5	5.7
5	11.1
5	23.5
5	9.7
5	28.9
5	33.9
5	5.1
5	3.5
5	9.1
5	6.5
5	43.2
5	25.9
